site_id,band_index,wavelength_nm
goldfield,87,811.2700
goldfield,88,816.2800
goldfield,89,821.2900
goldfield,90,826.3100
goldfield,91,831.3200
goldfield,92,836.3300
goldfield,93,841.3400
goldfield,94,846.3600
goldfield,95,851.3700
goldfield,96,856.3800
goldfield,97,861.3900
goldfield,98,866.4100
goldfield,99,871.4200
goldfield,100,876.4300
goldfield,101,881.4500
goldfield,102,886.4600
goldfield,103,891.4700
goldfield,104,896.4900
goldfield,105,901.5000
goldfield,106,906.5100
goldfield,107,911.5300
goldfield,108,916.5400
goldfield,109,921.5500
goldfield,110,926.5700
goldfield,111,931.5800
goldfield,112,936.6000
goldfield,113,941.6100
goldfield,114,946.6200
goldfield,115,951.6400
goldfield,116,956.6500
goldfield,117,961.6600
goldfield,118,966.6800
goldfield,119,971.6900
goldfield,120,976.7100
goldfield,121,981.7200
goldfield,122,986.7300
goldfield,123,991.7500
goldfield,124,996.7600
goldfield,125,1001.7800
goldfield,126,1006.7900
goldfield,127,1011.8000
goldfield,128,1016.8200
goldfield,129,1021.8300
goldfield,130,1026.8400
goldfield,131,1031.8600
goldfield,132,1036.8700
goldfield,133,1041.8800
goldfield,134,1046.9000
goldfield,135,1051.9100
goldfield,136,1056.9301
goldfield,137,1061.9399
goldfield,138,1066.9500
goldfield,139,1071.9700
goldfield,140,1076.9800
goldfield,141,1081.9900
goldfield,142,1087.0000
goldfield,143,1092.0200
goldfield,144,1097.0300
goldfield,145,1102.0400
goldfield,146,1107.0601
goldfield,147,1112.0699
goldfield,148,1117.0800
goldfield,149,1122.1000
goldfield,150,1127.1100
goldfield,151,1132.1200
goldfield,152,1137.1300
goldfield,153,1142.1500
goldfield,154,1147.1600
goldfield,155,1152.1700
goldfield,156,1157.1801
goldfield,157,1162.2000
goldfield,158,1167.2100
goldfield,159,1172.2200
goldfield,160,1177.2300
goldfield,161,1182.2400
goldfield,162,1187.2500
goldfield,163,1192.2700
goldfield,164,1197.2800
goldfield,165,1202.2900
goldfield,166,1207.3000
goldfield,167,1212.3101
goldfield,168,1217.3199
goldfield,169,1222.3300
goldfield,170,1227.3500
goldfield,171,1232.3600
goldfield,172,1237.3700
goldfield,173,1242.3800
goldfield,174,1247.3900
goldfield,175,1252.4000
goldfield,176,1257.4100
goldfield,177,1262.4200
goldfield,178,1267.4301
goldfield,179,1272.4399
goldfield,180,1277.4500
goldfield,181,1282.4600
goldfield,182,1287.4700
goldfield,183,1292.4800
goldfield,184,1297.4900
goldfield,185,1302.5000
goldfield,186,1307.5100
goldfield,187,1312.5200
goldfield,188,1317.5300
goldfield,189,1322.5400
goldfield,190,1327.5500
goldfield,191,1332.5601
goldfield,192,1337.5699
goldfield,193,1342.5699
goldfield,194,1347.5800
goldfield,195,1352.5900
goldfield,196,1357.6000
goldfield,197,1362.6100
goldfield,198,1367.6200
goldfield,199,1372.6200
goldfield,200,1377.6300
goldfield,201,1382.6400
goldfield,202,1387.6500
goldfield,203,1392.6600
goldfield,204,1397.6600
goldfield,205,1402.6700
goldfield,206,1407.6801
goldfield,207,1412.6801
goldfield,208,1417.6899
goldfield,209,1422.7000
goldfield,210,1427.7000
goldfield,211,1432.7100
goldfield,212,1437.7200
goldfield,213,1442.7200
goldfield,214,1447.7300
goldfield,215,1452.7400
goldfield,216,1457.7400
goldfield,217,1462.7500
goldfield,218,1467.7500
goldfield,219,1472.7600
goldfield,220,1477.7600
goldfield,221,1482.7700
goldfield,222,1487.7700
goldfield,223,1492.7800
goldfield,224,1497.7800
goldfield,225,1502.7900
goldfield,226,1507.7900
goldfield,227,1512.8000
goldfield,228,1517.8000
goldfield,229,1522.8101
goldfield,230,1527.8101
goldfield,231,1532.8101
goldfield,232,1537.8199
goldfield,233,1542.8199
goldfield,234,1547.8199
goldfield,235,1552.8300
goldfield,236,1557.8300
goldfield,237,1562.8300
goldfield,238,1567.8400
goldfield,239,1572.8400
goldfield,240,1577.8400
goldfield,241,1582.8400
goldfield,242,1587.8400
goldfield,243,1592.8500
goldfield,244,1597.8500
goldfield,245,1602.8500
goldfield,246,1607.8500
goldfield,247,1612.8500
goldfield,248,1617.8500
goldfield,249,1622.8500
goldfield,250,1627.8500
goldfield,251,1632.8600
goldfield,252,1637.8600
goldfield,253,1642.8600
goldfield,254,1647.8600
goldfield,255,1652.8600
goldfield,256,1657.8600
goldfield,257,1662.8500
goldfield,258,1667.8500
goldfield,259,1672.8500
goldfield,260,1677.8500
goldfield,261,1682.8500
goldfield,262,1687.8500
goldfield,263,1692.8500
goldfield,264,1697.8500
goldfield,265,1702.8400
goldfield,266,1707.8400
goldfield,267,1712.8400
goldfield,268,1717.8400
goldfield,269,1722.8300
goldfield,270,1727.8300
goldfield,271,1732.8300
goldfield,272,1737.8300
goldfield,273,1742.8199
goldfield,274,1747.8199
goldfield,275,1752.8101
goldfield,276,1757.8101
goldfield,277,1762.8000
goldfield,278,1767.8000
goldfield,279,1772.8000
goldfield,280,1777.7900
goldfield,281,1782.7900
goldfield,282,1787.7800
goldfield,283,1792.7700
goldfield,284,1797.7700
goldfield,285,1802.7600
goldfield,286,1807.7600
goldfield,287,1812.7500
goldfield,288,1817.7400
goldfield,289,1822.7300
goldfield,290,1827.7300
goldfield,291,1832.7200
goldfield,292,1837.7100
goldfield,293,1842.7100
goldfield,294,1847.7000
goldfield,295,1852.6899
goldfield,296,1857.6801
goldfield,297,1862.6700
goldfield,298,1867.6600
goldfield,299,1872.6500
goldfield,300,1877.6400
goldfield,301,1882.6300
goldfield,302,1887.6200
goldfield,303,1892.6100
goldfield,304,1897.6000
goldfield,305,1902.5900
goldfield,306,1907.5800
goldfield,307,1912.5699
goldfield,308,1917.5601
goldfield,309,1922.5400
goldfield,310,1927.5300
goldfield,311,1932.5200
goldfield,312,1937.5100
goldfield,313,1942.4900
goldfield,314,1947.4800
goldfield,315,1952.4700
goldfield,316,1957.4500
goldfield,317,1962.4399
goldfield,318,1967.4301
goldfield,319,1972.4100
goldfield,320,1977.4000
goldfield,321,1982.3800
goldfield,322,1987.3700
goldfield,323,1992.3500
goldfield,324,1997.3300
goldfield,325,2002.3199
goldfield,326,2007.3000
goldfield,327,2012.2800
goldfield,328,2017.2700
goldfield,329,2022.2500
goldfield,330,2027.2300
goldfield,331,2032.2100
goldfield,332,2037.2000
goldfield,333,2042.1801
goldfield,334,2047.1600
goldfield,335,2052.1399
goldfield,336,2057.1201
goldfield,337,2062.1001
goldfield,338,2067.0801
goldfield,339,2072.0601
goldfield,340,2077.0400
goldfield,341,2082.0200
goldfield,342,2087.0000
goldfield,343,2091.9800
goldfield,344,2096.9500
goldfield,345,2101.9299
goldfield,346,2106.9099
goldfield,347,2111.8899
goldfield,348,2116.8601
goldfield,349,2121.8401
goldfield,350,2126.8201
goldfield,351,2131.7900
goldfield,352,2136.7700
goldfield,353,2141.7400
goldfield,354,2146.7200
goldfield,355,2151.6899
goldfield,356,2156.6699
goldfield,357,2161.6399
goldfield,358,2166.6101
goldfield,359,2171.5901
